Average_Temperature_C,Total_Precipitation_mm,Soil_Health_Index,Crop_Type,Adaptation_Strategies,Crop_Yield_MT_per_HA,Economic_Impact_Million_USD
0.2162,0.072,0.1968,Corn,Water Management,0.1317,0.0502
0.9049,0.261,0.7717,Rice,Drought-resistant Crops,0.3402,0.3002
0.1704,0.3741,0.9712,Soybeans,Water Management,0.2736,0.288
0.4214,0.1972,0.6317,Soybeans,Drought-resistant Crops,0.6803,0.3373
0.6554,0.7322,0.4145,Rice,Drought-resistant Crops,0.1398,0.0305
0.6486,0.2356,0.9352,Coffee,Water Management,0.2186,0.2277
0.9354,0.8508,0.1981,Vegetables,Crop Rotation,0.5087,0.3891
0.3316,0.6366,0.2661,Fruits,Water Management,0.4236,0.3429
0.4002,0.0703,0.7874,Barley,Crop Rotation,0.2594,0.1305
0.4765,0.5581,0.8333,Barley,Drought-resistant Crops,0.8127,0.2663
0.769,0.6445,0.2053,Cotton,No Adaptation,0.7838,0.6358
0.0598,0.6977,0.5082,Cotton,Drought-resistant Crops,0.073,0.0628
0.8333,0.3642,0.1118,Coffee,Water Management,0.4641,0.4238
0.4374,0.9284,0.6123,Soybeans,Organic Farming,0.9505,0.2643
0.8916,0.797,0.1006,Wheat,No Adaptation,0.4236,0.273
0.6849,0.583,0.3449,Vegetables,Water Management,0.3182,0.0698
0.23,0.3139,0.49,Sugarcane,Drought-resistant Crops,0.5249,0.5727
0.3939,0.6661,0.5835,Sugarcane,Water Management,0.3943,0.2656
0.8809,0.8255,0.8301,Corn,Water Management,0.3932,0.3568
0.4817,0.1977,0.861,Barley,Drought-resistant Crops,0.6757,0.5053
0.007,0.1696,0.5118,Cotton,Drought-resistant Crops,0.061,0.1218
0.039,0.0877,0.1779,Rice,Organic Farming,0.0547,0.1049
0.5215,0.612,0.8735,Wheat,Drought-resistant Crops,0.5722,0.2683
0.5641,0.8284,0.7689,Rice,Crop Rotation,0.5677,0.3688
0.1069,0.9145,0.4667,Soybeans,Drought-resistant Crops,0.4528,0.4077
0.216,0.885,0.6941,Coffee,Drought-resistant Crops,0.0689,0.0702
0.7615,0.9265,0.5382,Cotton,Crop Rotation,0.3605,0.2731
0.044,0.4465,0.6181,Coffee,Organic Farming,0.2533,0.161
0.3486,0.1028,0.1317,Vegetables,Water Management,0.1479,0.032
0.219,0.8092,0.6805,Cotton,Crop Rotation,0.3425,0.1008
0.1517,0.9694,0.2915,Rice,Crop Rotation,0.043,0.0024
0.489,0.4339,0.3296,Cotton,Organic Farming,0.5168,0.4046
0.8173,0.8783,0.6829,Sugarcane,Drought-resistant Crops,0.1601,0.2067
0.9199,0.5076,0.4865,Soybeans,Drought-resistant Crops,0.6352,0.5466
0.4397,0.4758,0.773,Soybeans,Drought-resistant Crops,0.7458,0.5058
0.1239,0.5204,0.07,Barley,Drought-resistant Crops,0.2716,0.2331
0.2928,0.7139,0.6977,Coffee,Water Management,0.1844,0.2403
0.4442,0.613,0.1294,Coffee,Crop Rotation,0.7501,0.3942
0.2082,0.9757,0.7587,Vegetables,Organic Farming,0.0061,0.005
0.9122,0.1334,0.4171,Vegetables,Drought-resistant Crops,0.1241,0.0217
0.5155,0.5277,0.1836,Coffee,Drought-resistant Crops,0.329,0.2875
0.507,0.8295,0.7363,Rice,Water Management,0.3283,0.1048
0.798,0.7625,0.7046,Fruits,No Adaptation,0.3065,0.1671
0.0235,0.787,0.0743,Barley,Crop Rotation,0.4154,0.1521
0.4224,0.0249,0.368,Cotton,Drought-resistant Crops,0.385,0.3242
0.0888,0.9031,0.2359,Fruits,Drought-resistant Crops,0.4377,0.4275
0.519,0.8676,0.8306,Vegetables,Crop Rotation,0.7456,0.2236
0.0866,0.7881,0.0162,Coffee,Water Management,0.3283,0.2441
0.7095,0.839,0.139,Fruits,Crop Rotation,0.3465,0.0896
0.048,0.7129,0.7726,Vegetables,Organic Farming,0.4844,0.1483
0.4912,0.3263,0.7241,Vegetables,Water Management,0.7356,0.4276
0.6567,0.3147,0.807,Coffee,Crop Rotation,0.4911,0.1056
0.2352,0.6238,0.1725,Coffee,Water Management,0.3911,0.3969
0.8636,0.3348,0.4782,Vegetables,Crop Rotation,0.0871,0.0697
0.7848,0.6465,0.1294,Rice,No Adaptation,0.6645,0.4008
0.6817,0.9916,0.399,Coffee,Drought-resistant Crops,0.5181,0.5442
0.7027,0.6778,0.1057,Vegetables,Water Management,0.4357,0.3686
0.9397,0.6232,0.3951,Barley,No Adaptation,0.6848,0.1412
0.5203,0.3243,0.6654,Sugarcane,Water Management,0.7771,0.7431
0.9755,0.0299,0.2022,Barley,Water Management,0.685,0.2208
0.4782,0.5695,0.5459,Barley,No Adaptation,0.7681,0.1843
0.0103,0.803,0.0026,Soybeans,Crop Rotation,0.2547,0.2555
0.6301,0.5955,0.8984,Coffee,Water Management,0.311,0.1438
0.1577,0.7589,0.5014,Vegetables,Water Management,0.1682,0.0901
0.2245,0.378,0.1511,Corn,Water Management,0.3161,0.3793
0.0078,0.7501,0.5106,Coffee,Organic Farming,0.2794,0.2382
0.8861,1.0,0.1917,Corn,Drought-resistant Crops,0.5451,0.4296
0.3161,0.3,0.1274,Coffee,Organic Farming,0.2209,0.0702
0.2573,0.1542,0.2729,Coffee,No Adaptation,0.2975,0.1474
0.0193,0.5617,0.8014,Corn,No Adaptation,0.304,0.3422
0.0948,0.0712,0.8758,Corn,No Adaptation,0.2108,0.2414
0.3121,0.959,0.0626,Corn,No Adaptation,0.2074,0.0434
0.8136,0.4855,0.4448,Barley,Drought-resistant Crops,0.3303,0.0645
0.2845,0.8714,0.2149,Soybeans,Water Management,0.2148,0.1633
0.213,0.7003,0.6588,Rice,Crop Rotation,0.3245,0.0956
0.4975,0.7266,0.1195,Sugarcane,Organic Farming,0.9167,0.8624
0.4982,0.6783,0.2329,Corn,Organic Farming,0.7863,0.2665
0.465,0.1746,0.6323,Vegetables,No Adaptation,0.7771,0.4547
0.9059,0.451,0.8887,Wheat,Water Management,0.6172,0.4659
0.1064,0.9807,0.6452,Fruits,Organic Farming,0.2209,0.2022
0.3971,0.209,0.0224,Sugarcane,Drought-resistant Crops,0.6442,0.4186
0.4995,0.7439,0.1552,Rice,Crop Rotation,0.6282,0.2609
0.0188,0.8462,0.1286,Corn,No Adaptation,0.4483,0.4046
0.4462,0.7636,0.4208,Sugarcane,Crop Rotation,0.7546,0.1901
0.5108,0.5036,0.4161,Sugarcane,No Adaptation,0.5472,0.557
0.4119,0.4498,0.7185,Sugarcane,No Adaptation,0.2087,0.1817
0.0956,0.8049,0.2564,Barley,Water Management,0.5316,0.3336
0.3371,0.6021,0.8697,Barley,Water Management,0.0948,0.1121
0.53,0.697,0.9666,Coffee,Water Management,0.2659,0.318
0.3181,0.9632,0.531,Fruits,No Adaptation,0.4123,0.4871
0.1612,0.148,0.5736,Wheat,Organic Farming,0.4377,0.2039
0.6201,0.8187,0.4775,Corn,Organic Farming,0.5674,0.1904
0.7815,0.0572,0.836,Coffee,Organic Farming,0.6242,0.1649
0.7963,0.0029,0.2786,Coffee,Crop Rotation,0.6546,0.1765
0.044,0.6153,0.9456,Wheat,Drought-resistant Crops,0.0263,0.0506
0.6639,0.1624,0.4003,Barley,No Adaptation,0.3245,0.1776
0.767,0.205,0.46,Rice,Organic Farming,0.15,0.1828
0.2915,0.0539,0.4904,Barley,No Adaptation,0.2918,0.3245
0.5783,0.9189,0.5803,Sugarcane,Organic Farming,0.6712,0.2662
0.2287,0.1994,0.2119,Sugarcane,Water Management,0.4641,0.243
0.0833,0.7664,0.2828,Corn,No Adaptation,0.1844,0.0912
0.8731,0.5262,0.2818,Soybeans,Water Management,0.3283,0.2224
0.487,0.8258,0.8547,Sugarcane,Water Management,0.2412,0.2873
0.3101,0.8024,0.199,Corn,No Adaptation,0.3695,0.4318
0.0523,0.4408,0.9548,Barley,Crop Rotation,0.1331,0.0937
0.6344,0.6595,0.0564,Soybeans,No Adaptation,0.5024,0.1025
0.7027,0.6654,0.9344,Barley,Organic Farming,0.687,0.7625
0.1754,0.5705,0.3792,Cotton,Crop Rotation,0.2797,0.1343
0.3604,0.4479,0.6542,Fruits,No Adaptation,0.0203,0.0027
0.9324,0.3448,0.9638,Cotton,Water Management,0.0669,0.0738
0.1361,0.1505,0.1303,Sugarcane,Organic Farming,0.0486,0.0397
0.2925,0.3127,0.4062,Rice,No Adaptation,0.2254,0.241
0.1421,0.1941,0.367,Soybeans,Drought-resistant Crops,0.2412,0.2474
0.6359,0.5214,0.2291,Soybeans,Water Management,0.4866,0.2187
0.9009,0.1609,0.4026,Corn,Water Management,0.3668,0.1129
0.2072,0.4132,0.9218,Vegetables,Organic Farming,0.4945,0.1423
0.0636,0.5115,0.238,Coffee,Water Management,0.0304,0.0714
0.1159,0.4766,0.6059,Rice,No Adaptation,0.1939,0.2451
0.0988,0.1598,0.4294,Sugarcane,Water Management,0.3384,0.4136
0.6632,0.4466,0.3291,Vegetables,Organic Farming,0.0952,0.1224
0.5966,0.8894,0.2017,Coffee,Water Management,0.7703,0.3577
0.798,0.902,0.7772,Fruits,No Adaptation,0.2817,0.2453
0.9342,0.1396,0.8745,Coffee,No Adaptation,0.7771,0.1682
0.0045,0.2235,0.226,Fruits,Drought-resistant Crops,0.4762,0.3048
0.2007,0.4068,0.9275,Cotton,Crop Rotation,0.2371,0.1788
0.1484,0.5082,0.0923,Coffee,Drought-resistant Crops,0.2884,0.2615
0.4327,0.3904,0.6874,Fruits,Drought-resistant Crops,0.2412,0.1139
0.5948,0.5942,0.2326,Barley,Drought-resistant Crops,0.5789,0.1513
0.2387,0.5942,0.6803,Sugarcane,Organic Farming,0.1946,0.0381
0.7615,0.0269,0.6737,Cotton,Water Management,0.5796,0.5894
0.7227,0.1162,0.8476,Cotton,Organic Farming,0.3546,0.2481
0.9732,0.7643,0.9506,Barley,No Adaptation,0.2614,0.0461
0.2397,0.6788,0.3291,Corn,Organic Farming,0.4258,0.4577
0.8081,0.8278,0.5604,Corn,Crop Rotation,0.6667,0.5972
0.5318,0.1432,0.7706,Fruits,Organic Farming,0.3628,0.247
0.1834,0.256,0.9341,Coffee,Crop Rotation,0.3283,0.325
0.7535,0.5234,0.528,Coffee,Water Management,0.4013,0.263
0.6894,0.2088,0.5082,Fruits,No Adaptation,0.6577,0.2239
0.744,0.2361,0.2222,Coffee,Drought-resistant Crops,0.1885,0.1449
0.8061,0.6064,0.2037,Wheat,Organic Farming,0.3263,0.0605
0.0853,0.1297,0.8327,Soybeans,Drought-resistant Crops,0.2659,0.2424
0.4077,0.0655,0.6585,Corn,Water Management,0.5188,0.2849
0.8363,0.3811,0.2188,Wheat,No Adaptation,0.4686,0.1456
0.2515,0.532,0.4024,Rice,Crop Rotation,0.073,0.0833
0.9835,0.136,0.869,Coffee,Water Management,0.4123,0.4211
0.6727,0.158,0.4291,Fruits,Crop Rotation,0.4663,0.1548
0.2392,0.9889,0.774,Coffee,Crop Rotation,0.2797,0.0674
0.9304,0.2974,0.5727,Coffee,Organic Farming,0.6577,0.3725
0.2037,0.5944,0.0344,Cotton,No Adaptation,0.5091,0.5777
0.9745,0.9349,0.0686,Cotton,Crop Rotation,0.2878,0.0919
0.1682,0.7396,0.4314,Vegetables,No Adaptation,0.3673,0.3954
0.2988,0.8161,0.063,Wheat,Crop Rotation,0.4195,0.4802
0.2045,0.7688,0.6267,Corn,No Adaptation,0.15,0.1744
0.5816,0.6741,0.341,Coffee,Water Management,0.4276,0.3969
0.4094,0.4331,0.8867,Coffee,Drought-resistant Crops,0.4213,0.1367
1.0,0.1062,0.2676,Sugarcane,Organic Farming,0.4215,0.1324
0.8193,0.6939,0.7531,Coffee,Drought-resistant Crops,0.6708,0.5853
0.7925,0.309,0.8004,Rice,Crop Rotation,0.3357,0.366
0.7182,0.7204,0.7816,Barley,Crop Rotation,0.741,0.2767
0.6512,0.4992,0.1418,Coffee,No Adaptation,0.2862,0.1519
0.7563,0.3588,0.4875,Fruits,Crop Rotation,0.3607,0.2389
0.8716,0.7227,0.1582,Sugarcane,Organic Farming,0.2727,0.2422
0.477,0.0229,0.4729,Barley,Organic Farming,0.3101,0.1239
0.9072,0.9989,0.3667,Rice,Water Management,0.385,0.1701
0.9837,0.3272,0.4511,Sugarcane,Water Management,0.2096,0.0996
0.4322,0.326,0.4413,Fruits,Crop Rotation,0.4708,0.3245
0.049,0.6586,0.7524,Corn,Drought-resistant Crops,0.4154,0.3312
0.8198,0.494,0.957,Vegetables,Water Management,0.5674,0.1326
0.008,0.2438,0.3763,Cotton,Water Management,0.4033,0.1469
0.963,0.5333,0.9275,Fruits,Water Management,0.152,0.134
0.7608,0.6772,0.944,Fruits,Crop Rotation,0.4776,0.2536
0.3408,0.2049,0.4306,Vegetables,Crop Rotation,0.1443,0.181
0.0328,0.316,0.1714,Rice,Water Management,0.3965,0.1933
0.1099,0.4229,0.2803,Soybeans,Crop Rotation,0.381,0.2711
0.205,0.5143,0.7109,Fruits,Drought-resistant Crops,0.2108,0.0888
0.736,0.8735,0.2122,Fruits,No Adaptation,0.5614,0.2242
0.9732,0.3603,0.2496,Sugarcane,No Adaptation,0.2635,0.094
0.3476,0.2512,0.3703,Barley,Organic Farming,0.2277,0.2004
0.6987,0.7045,0.6908,Coffee,Organic Farming,0.383,0.2945
0.9542,0.411,0.6119,Rice,Drought-resistant Crops,0.4889,0.2383
0.3346,0.0264,0.0356,Fruits,No Adaptation,0.0385,0.0282
0.2675,0.9389,0.5604,Corn,Organic Farming,0.4864,0.2353
0.1859,0.4813,0.1571,Vegetables,Drought-resistant Crops,0.1286,0.1236
0.987,0.8469,0.3277,Cotton,Water Management,0.1844,0.2145
0.5628,0.9633,0.5209,Wheat,Crop Rotation,0.4398,0.3413
0.3223,0.3925,0.4407,Corn,Organic Farming,0.1398,0.0392
0.7392,0.517,0.9082,Cotton,Crop Rotation,0.0871,0.132
0.8143,0.7305,0.8836,Corn,No Adaptation,0.2997,0.1345
0.4857,0.1647,0.0,Corn,Organic Farming,0.633,0.5102
0.0783,0.9445,0.5451,Vegetables,Crop Rotation,0.4236,0.4417
0.4307,0.2233,0.0726,Vegetables,Water Management,0.5046,0.5368
0.3491,0.9269,0.9663,Corn,Drought-resistant Crops,0.4844,0.2763
0.2645,0.8309,0.1452,Vegetables,Drought-resistant Crops,0.0925,0.1241
0.9742,0.1936,0.5354,Sugarcane,Crop Rotation,0.4573,0.2062
0.1281,0.5189,0.0402,Corn,Crop Rotation,0.1682,0.2172
0.4792,0.0259,0.935,Sugarcane,Crop Rotation,0.5087,0.1019
0.3353,0.1708,0.6593,Cotton,Drought-resistant Crops,0.0115,0.0414
0.8814,0.8874,0.9044,Vegetables,No Adaptation,0.0993,0.1548
0.5175,0.0376,0.1789,Rice,Water Management,0.5796,0.5398
0.8804,0.2325,0.7149,Sugarcane,Organic Farming,0.633,0.1822
0.9682,0.5935,0.161,Vegetables,Crop Rotation,0.5632,0.2354
0.3936,0.9287,0.2115,Fruits,Water Management,0.8131,0.4486
0.4124,0.7518,0.0112,Sugarcane,Water Management,0.3303,0.1395
0.3714,0.566,0.8044,Sugarcane,Drought-resistant Crops,0.5204,0.5303
0.8493,0.5198,0.5822,Wheat,Crop Rotation,0.1439,0.1506
0.2508,0.9618,0.707,Sugarcane,Water Management,0.1439,0.139
0.9364,0.421,0.7403,Vegetables,Water Management,0.6465,0.5095
0.3846,0.0448,0.223,Cotton,No Adaptation,0.6992,0.6081
0.0681,0.134,0.5687,Wheat,Crop Rotation,0.2432,0.0418
0.6704,0.4328,0.5079,Corn,No Adaptation,0.3709,0.1985
0.5213,0.2895,0.8966,Rice,Organic Farming,0.2749,0.2024
0.527,0.6737,0.7694,Wheat,No Adaptation,0.5046,0.1301
0.8313,0.8003,0.0244,Soybeans,Drought-resistant Crops,0.5677,0.5108
0.7945,0.1012,0.6141,Cotton,Drought-resistant Crops,0.383,0.4482
0.3391,0.1141,0.0978,Coffee,No Adaptation,0.2249,0.2181
0.6544,0.6153,0.5689,Soybeans,Drought-resistant Crops,0.3749,0.2275
0.7735,0.6454,0.262,Coffee,No Adaptation,0.4889,0.1568
0.5741,0.5112,0.0131,Coffee,Water Management,0.2797,0.1088
0.7758,0.3875,0.5994,Wheat,Drought-resistant Crops,0.5812,0.3632
0.7385,0.3623,0.2257,Fruits,No Adaptation,0.2574,0.0887
0.4865,0.5139,0.7105,Corn,No Adaptation,0.9527,0.8185
0.3794,0.722,0.8809,Soybeans,Drought-resistant Crops,0.8694,0.4493
0.5766,0.6659,0.5023,Fruits,Organic Farming,0.8289,0.1811
0.8989,0.2587,0.7162,Sugarcane,Water Management,0.1286,0.0899
0.9494,0.983,0.4588,Coffee,Organic Farming,0.32,0.2052
0.0666,0.8725,0.263,Barley,No Adaptation,0.0061,0.0748
0.9152,0.268,0.5828,Fruits,No Adaptation,0.6242,0.4033
0.5546,0.3151,0.9681,Fruits,Crop Rotation,0.4033,0.2084
0.6897,0.7147,0.2009,Sugarcane,No Adaptation,0.1083,0.0651
0.9164,0.3073,0.4587,Sugarcane,Crop Rotation,0.5533,0.5097
0.3809,0.8265,0.3164,Fruits,Organic Farming,0.3988,0.3618
0.3403,0.9784,0.7561,Barley,Drought-resistant Crops,0.0453,0.0556
0.4347,0.9867,0.2194,Rice,No Adaptation,0.8613,0.1948
0.8068,0.733,0.9749,Soybeans,Drought-resistant Crops,0.6667,0.2435
0.8388,0.223,0.0928,Barley,Crop Rotation,0.5204,0.1465
0.5796,0.0144,0.5426,Barley,Crop Rotation,0.458,0.4362
0.9364,0.3926,0.6712,Fruits,Organic Farming,0.533,0.4146
0.2175,0.4224,0.064,Corn,Organic Farming,0.0993,0.023
0.4607,0.8002,0.7628,Coffee,Crop Rotation,0.5789,0.5759
0.2287,0.9335,0.4693,Soybeans,Crop Rotation,0.4416,0.2773
0.1484,0.7196,0.6647,Vegetables,Drought-resistant Crops,0.2051,0.0767
0.7985,0.4534,0.8184,Vegetables,Crop Rotation,0.2027,0.2409
0.1129,0.4109,0.1085,Vegetables,Water Management,0.2432,0.2749
0.2735,0.7768,0.6436,Sugarcane,Water Management,0.2857,0.0833
0.6694,0.6778,0.6237,Cotton,Crop Rotation,0.5958,0.2014
0.1371,0.1595,0.1983,Fruits,Drought-resistant Crops,0.4742,0.1986
0.8734,0.8629,0.6341,Coffee,Drought-resistant Crops,0.1128,0.0349
0.8416,0.4183,0.03,Vegetables,Water Management,0.2569,0.1552
0.8401,0.1461,0.7699,Cotton,Crop Rotation,0.2168,0.0654
0.1667,0.4092,0.1225,Rice,Drought-resistant Crops,0.0243,0.0968
0.8861,0.8687,0.54,Vegetables,Crop Rotation,0.1581,0.1427
0.9657,0.7302,0.0184,Barley,No Adaptation,0.3932,0.1239
0.0758,0.0867,0.1518,Barley,Organic Farming,0.0628,0.1256
0.7065,0.5013,0.9659,Cotton,Organic Farming,0.2027,0.204
0.4334,0.5772,0.1222,Wheat,Organic Farming,0.5181,0.1707
0.6421,0.4045,0.304,Soybeans,No Adaptation,0.4965,0.4582
0.228,0.9411,0.5425,Cotton,Organic Farming,0.401,0.3597
0.761,0.3098,0.9166,Barley,Drought-resistant Crops,0.5999,0.4086
0.016,0.689,0.49,Soybeans,Water Management,0.0385,0.0171
0.4412,0.711,0.7747,Cotton,Organic Farming,0.5978,0.6109
0.6937,0.3541,0.3719,Coffee,Organic Farming,0.5474,0.4861
0.735,0.8948,0.5993,Rice,No Adaptation,0.0892,0.159
0.8836,0.1741,0.432,Barley,Water Management,0.7568,0.6851
0.3058,0.502,0.3615,Coffee,Drought-resistant Crops,0.311,0.061
0.3879,0.2179,0.2733,Cotton,Organic Farming,0.6039,0.1272
0.9339,0.4348,0.8527,Coffee,No Adaptation,0.302,0.0983
0.7487,0.9506,0.0967,Wheat,No Adaptation,0.4145,0.2609
0.285,0.8218,0.5857,Rice,Crop Rotation,0.365,0.1088
0.2107,0.529,0.5824,Rice,Crop Rotation,0.4438,0.4774
0.2212,0.2279,0.3836,Soybeans,Water Management,0.4281,0.1219
0.3671,0.4586,0.5974,Corn,Drought-resistant Crops,0.2997,0.3589
0.767,0.8782,0.766,Vegetables,Water Management,0.7546,0.4742
0.4134,0.2335,0.591,Barley,Drought-resistant Crops,0.687,0.6945
0.0948,0.1092,0.2026,Vegetables,Organic Farming,0.3965,0.2505
0.3428,0.031,0.3403,Soybeans,Drought-resistant Crops,0.0304,0.0766
0.8949,0.4846,0.292,Vegetables,Crop Rotation,0.6104,0.5032
0.956,0.5465,0.0818,Soybeans,No Adaptation,0.3729,0.2543
0.3949,0.26,0.3878,Fruits,Water Management,0.608,0.4549
0.3976,0.6763,0.2207,Sugarcane,No Adaptation,0.2659,0.2275
0.9144,0.5984,0.2945,Wheat,No Adaptation,0.6037,0.3443
0.2788,0.2488,0.2132,Soybeans,Drought-resistant Crops,0.2096,0.1987
0.9622,0.9513,0.1743,Soybeans,Drought-resistant Crops,0.6622,0.6702
0.7863,0.2727,0.5013,Corn,Crop Rotation,0.678,0.6226
0.4032,0.5201,0.6918,Sugarcane,Water Management,0.8446,0.5104
0.5638,0.5918,0.5631,Barley,Water Management,0.3202,0.146
0.2262,0.7166,0.9829,Rice,Organic Farming,0.0142,0.0614
0.2585,0.5125,0.6989,Cotton,Organic Farming,0.4884,0.4903
0.9234,0.5342,0.9133,Cotton,No Adaptation,0.3384,0.2739
0.7295,0.2247,0.1423,Cotton,Organic Farming,0.1691,0.2084
0.5395,0.6063,0.9339,Barley,No Adaptation,0.2547,0.1082
0.6446,0.5532,0.2976,Fruits,Organic Farming,0.3628,0.3331
0.97,0.1092,0.9749,Sugarcane,Water Management,0.2594,0.1911
0.756,0.1503,0.8525,Vegetables,Drought-resistant Crops,0.5411,0.137
0.4412,0.4909,0.7654,Rice,Water Management,0.5026,0.3188
0.3166,0.3062,0.0927,Wheat,Crop Rotation,0.3769,0.4119
0.5611,0.7297,0.623,Fruits,Organic Farming,0.227,0.0588
0.288,0.1431,0.4383,Vegetables,Drought-resistant Crops,0.4123,0.251
0.5335,0.2821,0.8238,Cotton,No Adaptation,0.4438,0.481
0.5666,0.759,0.8287,Fruits,Drought-resistant Crops,0.9122,0.2909
0.0425,0.2286,0.7951,Coffee,Crop Rotation,0.1759,0.2329
0.3491,0.4965,0.4416,Wheat,Organic Farming,0.3335,0.1952
0.8486,0.2049,0.7182,Coffee,Crop Rotation,0.5208,0.4098
0.229,0.8181,0.1019,Coffee,Organic Farming,0.4618,0.1233
0.0493,0.9305,0.739,Fruits,Organic Farming,0.1986,0.1028
0.6542,0.678,0.0511,Wheat,Organic Farming,0.075,0.0529
0.9377,0.6335,0.559,Soybeans,No Adaptation,0.3312,0.3469
0.7968,0.5009,0.1347,Wheat,Organic Farming,0.6037,0.4093
0.8118,0.3466,0.908,Rice,Crop Rotation,0.227,0.1812
0.6652,0.1358,0.6996,Corn,Drought-resistant Crops,0.4934,0.5646
0.4847,0.5918,0.3321,Barley,Crop Rotation,0.4357,0.5101
0.6562,0.7891,0.6007,Vegetables,Crop Rotation,0.073,0.1163
0.9104,0.6733,0.7077,Rice,Water Management,0.7478,0.4339
0.7127,0.2546,0.0667,Soybeans,Organic Farming,0.4094,0.2123
0.2065,0.4988,0.0033,Vegetables,Drought-resistant Crops,0.4055,0.3605
0.968,0.4047,0.3941,Wheat,Crop Rotation,0.1646,0.0747
0.8386,0.9344,0.5473,Corn,Drought-resistant Crops,0.077,0.1263
0.2357,0.0028,0.1491,Rice,Drought-resistant Crops,0.4094,0.3923
0.9565,0.4548,0.7344,Sugarcane,Crop Rotation,0.2997,0.1585
0.722,0.6964,0.2215,Rice,Organic Farming,0.2655,0.2239
0.8283,0.1845,0.2341,Fruits,Water Management,0.732,0.7984
0.6932,0.2964,0.0607,Corn,Crop Rotation,0.5992,0.2293
0.021,0.7796,0.0306,Sugarcane,Water Management,0.2704,0.065
0.8711,0.8769,0.0484,Cotton,Organic Farming,0.3972,0.2487
0.3038,0.6944,0.6641,Barley,Drought-resistant Crops,0.4884,0.4876
0.3351,0.9462,0.8158,Rice,Crop Rotation,0.2299,0.28
0.9434,0.0038,0.4022,Rice,Crop Rotation,0.1804,0.1636
0.7565,0.5705,0.7419,Barley,Water Management,0.5391,0.1673
0.9555,0.4672,0.4801,Rice,Drought-resistant Crops,0.1849,0.0297
0.1206,0.7968,0.2039,Barley,No Adaptation,0.15,0.1262
0.1589,0.8441,0.3958,Soybeans,Water Management,0.4033,0.1308
0.4865,0.3339,0.4885,Barley,Drought-resistant Crops,0.3988,0.0838
0.4585,0.0317,0.9082,Rice,Drought-resistant Crops,0.2108,0.0534
0.3984,0.443,0.702,Corn,No Adaptation,0.3324,0.0682
0.1752,0.5192,0.9567,Soybeans,Crop Rotation,0.2322,0.2296
0.1717,0.718,0.5786,Fruits,Crop Rotation,0.1723,0.239
0.8664,0.4664,0.5581,Sugarcane,Crop Rotation,0.4661,0.2435
0.763,0.6046,0.5079,Coffee,Crop Rotation,0.4821,0.3221
0.4497,0.5189,0.2435,Vegetables,Drought-resistant Crops,0.4573,0.3509
0.6924,0.4589,0.4871,Soybeans,Water Management,0.6141,0.2865
0.0683,0.4661,0.4155,Cotton,No Adaptation,0.0284,0.0744
0.5786,0.1,0.7489,Wheat,Water Management,0.4398,0.2269
0.9357,0.4888,0.9508,Sugarcane,Water Management,0.4393,0.4877
0.1106,0.2538,0.3727,Barley,Organic Farming,0.2553,0.0883
0.8931,0.0753,0.0958,Barley,Water Management,0.6363,0.5166
0.3253,0.7863,0.74,Rice,No Adaptation,0.383,0.1901
0.1584,0.7742,0.3344,Sugarcane,Water Management,0.4296,0.2534
0.479,0.9925,0.597,Rice,Crop Rotation,0.6181,0.4339
0.4452,0.6812,0.5231,Barley,Water Management,0.6424,0.1472
0.9014,0.8009,0.4905,Corn,Drought-resistant Crops,0.4621,0.1783
0.7905,0.4536,0.9684,Barley,Crop Rotation,0.3749,0.1527
0.0968,0.5338,0.3359,Vegetables,Organic Farming,0.025,0.0106
0.4937,0.2527,0.1877,Fruits,No Adaptation,0.456,0.3895
0.8021,0.4205,0.3214,Soybeans,Drought-resistant Crops,0.4281,0.2705
0.4392,0.8669,0.8836,Coffee,Organic Farming,0.8349,0.3838
0.9657,0.0542,0.4894,Rice,Drought-resistant Crops,0.5087,0.1389
0.3599,0.0065,0.0537,Rice,Crop Rotation,0.1946,0.1639
0.1959,0.7556,0.9702,Corn,Organic Farming,0.0142,0.0819
0.5941,0.378,0.0824,Sugarcane,Water Management,0.9257,1.0
0.5383,0.8103,0.125,Corn,Crop Rotation,0.3161,0.157
0.6154,0.8192,0.6089,Rice,No Adaptation,0.6577,0.6415
0.0673,0.3873,0.7189,Soybeans,Drought-resistant Crops,0.4934,0.1346
0.3243,0.037,0.7923,Wheat,Organic Farming,0.383,0.4504
0.0926,0.5442,0.2418,Wheat,Water Management,0.1419,0.0846
0.4757,0.759,0.7333,Rice,Organic Farming,0.8604,0.8178
0.8368,0.2891,0.4793,Vegetables,Crop Rotation,0.4956,0.3985
0.7993,0.5287,0.895,Cotton,Water Management,0.4934,0.2689
0.9064,0.5873,0.5395,Coffee,No Adaptation,0.5204,0.1001
0.8789,0.6966,0.0079,Coffee,Crop Rotation,0.1763,0.084
0.5103,0.8931,0.4809,Cotton,No Adaptation,0.5431,0.149
0.7955,0.851,0.8656,Sugarcane,Organic Farming,0.5857,0.2647
0.9224,0.6011,0.9765,Rice,Drought-resistant Crops,0.2502,0.1918
0.1434,0.6558,0.4554,Rice,Drought-resistant Crops,0.1236,0.1054
0.799,0.8456,0.4176,Sugarcane,Crop Rotation,0.5609,0.4127
0.0556,0.1718,0.5004,Fruits,No Adaptation,0.1106,0.0467
0.4369,0.3556,0.0578,Barley,Crop Rotation,0.2695,0.1461
